date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:53	136882/136882	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22216b2-5b506e2df28be%22	https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.eot	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.eot	(from https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/brands.css?ver=5.13.0)
12:38:53	136882/136882	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22216b2-5b506e2df28be%22	https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.eot?	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400d41d.eot	(from https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/brands.css?ver=5.13.0)
12:38:53	922608/922608	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e13f0-5b506e2df28be%22	https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.svg	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.svg	(from https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/solid.css?ver=5.13.0)
12:38:53	78632/78632	---M--	200	added ('OK')	font/woff2	etag:%2213328-5b506e2df308f%22	https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.woff2	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.woff2	(from https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/brands.css?ver=5.13.0)
12:38:54	92216/92216	---M--	200	added ('OK')	font/woff	etag:%2216838-5b506e2df2ca7%22	https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.woff	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.woff	(from https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/brands.css?ver=5.13.0)
12:38:54	104284/104284	---M--	200	added ('OK')	font/woff	etag:%221975c-5b506e2df2ca7%22	https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.woff	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-solid-900.woff	(from https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/solid.css?ver=5.13.0)
12:38:54	136576/136576	---M--	200	added ('OK')	font/ttf	etag:%2221580-5b506e2df28be%22	https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.ttf	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.ttf	(from https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/brands.css?ver=5.13.0)
12:38:55	750860/750860	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b750c-5b506e2df308f%22	https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.svg	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/fonts/fa-brands-400.svg	(from https://ajdethemes.com/adri/smooth/wp-content/themes/adri-ajdethemes/assets/fonts/fa-brands/brands.css?ver=5.13.0)
12:38:55	188164/188164	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222df04-5baf37a8d346c%22	https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.10.0	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.eot	(from https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.10.0)
12:38:55	84508/84508	---M--	200	added ('OK')	font/woff2	etag:%2214a1c-5baf37a8d346c%22	https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.10.0	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.woff2	(from https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.10.0)
12:38:55	102768/102768	---M--	200	added ('OK')	font/woff	etag:%2219170-5baf37a8d3855%22	https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.10.0	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.woff	(from https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.10.0)
12:38:55	188004/188004	---M--	200	added ('OK')	font/ttf	etag:%222de64-5baf37a8d346c%22	https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.10.0	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.ttf	(from https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.10.0)
12:38:56	286398/286398	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2245ebe-5baf37a8d346c%22	https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.10.0	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.svg	(from https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.10.0)
12:38:57	456167/456167	---M--	200	added ('OK')	image/jpeg	etag:%226f5e7-5afee167947bd%22	https://ajdethemes.com/adri/smooth/wp-content/uploads/sites/9/2020/08/sec-bg-2.jpg	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/uploads/sites/9/2020/08/sec-bg-2.jpg	(from https://ajdethemes.com/adri/smooth/wp-content/uploads/sites/9/elementor/css/post-5.css?ver=1612942081)
12:38:57	204814/204814	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223200e-5baf37a8d2c9c%22	https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	(from https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.1)
12:38:58	80300/80300	---M--	200	added ('OK')	font/woff2	etag:%22139ac-5baf37a8d28b4%22	https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2	E:/templates/1/Adri%20cons/ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2	(from https://ajdethemes.com/adri/smooth/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.1)
